Tier,Image,Name,Price,Matched Model,Efficiency,Wattage,Extra Notes/Information
C,https://m.media-amazon.com/images/I/41WXywVNWGL.jpg,Apevia Prestige,66.98,apevia prestige standard,80+ Gold,800,Same platform as Xigmatek Hydra M; reports of dual-sourcing w/ Andyson for US; other models possibly affected.
B-,https://m.media-amazon.com/images/I/51ycPIhE-bL.jpg,Silverstone ST85F-GS-V2,124.66,silverstone triton rx gold,80+ Gold,850,Claims an ICB fan; Aris showed a rifle bearing. OPP set high (~150%;) OOS 3.3V transients. Noisy (>50dBA@750W load). Dual EPS on 18AWG cable.
B,//cdna.pcpartpicker.com/static/forever/images/product/79be60ce3783b8918a1c0940d3e4ff19.256p.jpg,MSI MAG A850GL PCIE5,99.99,msi mag a gl pcie5,80+ Gold,850,Solid electrical performance; let down by poorly tuned protections; mediocre transient response; and a low quality fan.
B+,https://m.media-amazon.com/images/I/41Fqc0InKFL.jpg,Vetroo 50315153244479,89.99,vetroo gv g5 2024 atx 3 1,80+ Gold,850,Advertised as ATX 3.1. Platform has poor transient response in 200% ATX 3.1 test; weak 3.3V load regulation; and high-set OCP on minor rails.
A-,//cdna.pcpartpicker.com/static/forever/images/product/5595266ca881fcc6e5296037a601f47d.256p.jpg,SeaSonic Focus GX V4 ATX 3 (2024),149.99,seasonic focus gx v4 atx 3 1,80+ Gold,850,Black model has white line accents; compared to V3. Stupidly high inrush current; mediocre transient response; minor rails' OCP needs tuning.
A,//cdna.pcpartpicker.com/static/forever/images/product/c04beca6c6820e5b4fe612ab1850b8cd.256p.jpg,Montech CENTURY II,104.9,montech century ii gold atx 3 1,80+ Gold,1050,Good performance and noise profile. High inrush current. OPP and OCP on the minor rails need tuning. Functional; but set high.
A+,//cdna.pcpartpicker.com/static/forever/images/product/c0060ae80a7b71686da1ca92324d0f68.256p.jpg,NZXT C850 (2024),114.99,nzxt c series gold atx 3 1 2024,80+ Gold,850,Available in black and white
