Tier,Image,Name,Price,Matched Model,Efficiency,Wattage,Extra Notes/Information
C-,https://m.media-amazon.com/images/I/41zLtynJHLL.jpg,Montech APX,51.92,montech apx,80+,650,
C,//cdna.pcpartpicker.com/static/forever/images/product/3148f884b77b2d7abee3a3e0ad72cf73.256p.jpg,MSI MAG A650BN,49.99,msi mag a bn,80+ Bronze,650,Capacitors and fans appear to be variable based on region/batch.
C+,//cdna.pcpartpicker.com/static/forever/images/product/cd1c62429bd8d83e6d8dc273f0cc179c.256p.jpg,Corsair CX650M (2021),74.98,corsair cx m 2021 black label,80+ Bronze,650,
B-,//cdna.pcpartpicker.com/static/forever/images/product/bda3fc099d5ee134c08ecccb4ba841d2.256p.jpg,ADATA XPG KYBER,79.98,adata xpg kyber,80+ Gold,750,
B,//cdna.pcpartpicker.com/static/forever/images/product/d8f4d13ba49891eb3929bdddc3d87b4b.256p.jpg,MSI MAG A750GL PCIE5,79.98,msi mag a gl pcie5,80+ Gold,750,Solid electrical performance; let down by poorly tuned protections; mediocre transient response; and a low quality fan.
B+,https://m.media-amazon.com/images/I/41Fqc0InKFL.jpg,Vetroo 50315153244479,89.99,vetroo gv g5 2024 atx 3 1,80+ Gold,850,Advertised as ATX 3.1. Platform has poor transient response in 200% ATX 3.1 test; weak 3.3V load regulation; and high-set OCP on minor rails.
A-,https://m.media-amazon.com/images/I/51e9DyngGIL.jpg,Thermaltake Toughpower GF2 ARGB,99.98,thermaltake toughpower gf2 argb,80+ Gold,650,
A,//cdna.pcpartpicker.com/static/forever/images/product/05f77e3fcfaedb40ed55bfa5174d914e.256p.jpg,ASRock Phantom Gaming PG-750G,99.99,asrock phantom gaming pg g,80+ Gold,750,"12V-2x6 connector (GPU side) has thermistors to act as an ""OTP"" against melting. Stellar ripple suppression; especially on the minor rails."
A+,//cdna.pcpartpicker.com/static/forever/images/product/c0060ae80a7b71686da1ca92324d0f68.256p.jpg,NZXT C850 (2024),114.99,nzxt c series gold atx 3 1 2024,80+ Gold,850,Available in black and white
