name,wattage,efficiency,price,size,image,modularity,color
Super Flower LEADEX VII XG,1300,Efficiency Rating80+ Gold,239.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/9a2a26333f0bbcb4d60377c747686cb4.256p.jpg,ModularFull,ColorBlack
EVGA 850 B5,850,Efficiency Rating80+ Bronze,240.25,TypeATX,https://m.media-amazon.com/images/I/51UyDWC5Y8L.jpg,ModularFull,ColorBlack
Thermaltake Toughpower PF3-L,850,Efficiency Rating80+ Platinum,240.35,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/f97aa545f65369fdb83c44d1b79f423e.256p.jpg,ModularFull,ColorBlack
Thermaltake Toughpower iRGB PLUS 750,750,Efficiency Rating80+ Gold,241.5,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/36c3f2162cb7c105b5aceb9d291a4ccc.256p.jpg,ModularFull,ColorBlack
EVGA 700 GD,700,Efficiency Rating80+ Gold,241.53,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/f8c1ad47e393d4f927d010643c61bc8e.256p.jpg,ModularNo,ColorBlack
Inter-Tech Argus RGB II,700,Efficiency Rating80+ Bronze,241.69,TypeATX,https://m.media-amazon.com/images/I/41e4M64IRTS.jpg,ModularNo,ColorBlack
Silverstone ST75F-GS-V3,750,Efficiency Rating80+ Gold,242.1,TypeATX,https://m.media-amazon.com/images/I/51hx-kcJoAL.jpg,ModularFull,ColorBlack
be quiet! SFX Power 3 450,450,Efficiency Rating80+ Bronze,243.16,TypeSFX,//cdna.pcpartpicker.com/static/forever/images/product/6f22b32ac4c2844cc76bbee6ef798d01.256p.jpg,ModularNo,ColorBlack
be quiet! Dark Power 13,750,Efficiency Rating80+ Titanium,243.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/cdf44697dff8d74746dfef9bb2175029.256p.jpg,ModularFull,ColorBlack
Rosewill PMG750,750,Efficiency Rating80+ Gold,244.17,TypeATX,https://m.media-amazon.com/images/I/51GiqyALi1L.jpg,ModularFull,ColorBlack
Corsair RM1000e (2023),1000,Efficiency Rating80+ Gold,244.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/ce27e414f67e9e8786401e4260bb85fa.256p.jpg,ModularFull,ColorBlack
