located Name,Wattage,Price,Efficiency,Matched Tier Model,Tier,Matched Tier Model Info,Similarity,Image URL,modularity,Product URL,size,color,atxver
Cooler Master MWE Bronze 650 V3 230V,650,55.94,80+ Bronze,cooler master mwe v3 atx 3 1 230v bronze,C,Basically G1208 updated to ATX 3.1,113.0,//cdna.pcpartpicker.com/static/forever/images/product/24334985b6ed3173495aab3744b6d9de.256p.jpg,No,,ATX,Black,ATX 3.x
Deepcool PL750D,750,56.94,80+ Bronze,deepcool gamerstorm pk d,C,Internals appear to be variable based on region/batch.,80.36521739130434,//cdna.pcpartpicker.com/static/forever/images/product/9ee96af4fbfe40de451a9d3db9ba7e9a.256p.jpg,No,,ATX,Black,ATX 2.x
Antec VP PLUS,550,57.28,80+,antec atom vp plus,E,"Also comes as a 230V only model. Uncertain if platform is the same, but certainly not good.",109.6,//cdna.pcpartpicker.com/static/forever/images/product/eab7a58ca2772caf04e9a8fa00254430.256p.jpg,No,,ATX,Black,ATX 2.x
Cooler Master MWE White V2 230V,550,57.49,80+ Bronze,cooler master mwe v2 white,B,,121.2,//cdna.pcpartpicker.com/static/forever/images/product/951d679bf960d065c028bc14cc8424da.256p.jpg,No,,ATX,Black / White,ATX 2.x
Cooler Master MWE Bronze 750 V3 230V,750,58.98,80+ Bronze,cooler master mwe v3 atx 3 1 230v bronze,C-,Basically G1208 updated to ATX 3.1; broke during 5V SCP. Possible bad sample?,113.0,//cdna.pcpartpicker.com/static/forever/images/product/90ffdff83511b0f42131330356baba97.256p.jpg,No,,ATX,Black,ATX 3.x
Antec VP PLUS,550,59.95,80+,antec atom vp plus,E,"Also comes as a 230V only model. Uncertain if platform is the same, but certainly not good.",109.6,//cdna.pcpartpicker.com/static/forever/images/product/df7265af0626aa2158a104bfa7396569.256p.jpg,No,,ATX,Black,ATX 2.x
be quiet! System Power 10,650,59.99,80+ Bronze,be quiet system power 10 bronze,E,"Terrible ripple suppression, especially on 12V (well over 100mV under full load), OCP is not set properly, low efficiency, low quality fan.",112.2,//cdna.pcpartpicker.com/static/forever/images/product/62626498104ab694ca38b6996eb58acb.256p.jpg,No,,ATX,Black,ATX 2.x
be quiet! TFX Power 3 300,300,59.99,80+ Gold,No Match,N/A,No Match Info,0,//cdna.pcpartpicker.com/static/forever/images/product/26f4e1e59c28ce6c0a4dd6e61845d41a.256p.jpg,No,,TFX,Black,N/A
Cooler Master Elite NEX White W600 Black Mesh 230V,600,60.35,80+,cooler master elite nex 230v,E,,110.6,https://m.media-amazon.com/images/I/51pT3Drq0UL.jpg,No,,ATX,Black,ATX 2.x
Antec CSK,650,61.02,80+ Bronze,antec atom cuprum strike csk bronze,E,,113.0,//cdna.pcpartpicker.com/static/forever/images/product/eaf88844dea83c9215031240a243a6b6.256p.jpg,No,,ATX,Black / Yellow,ATX 2.x
